Minutes,Year
78,Year1978
74,Year1978
68,Year1978
76,Year1978
80,Year1978
84,Year1978
50,Year1978
93,Year1978
55,Year1978
76,Year1978
58,Year1978
74,Year1978
75,Year1978
80,Year1978
56,Year1978
80,Year1978
69,Year1978
57,Year1978
90,Year1978
42,Year1978
91,Year1978
51,Year1978
79,Year1978
53,Year1978
82,Year1978
51,Year1978
76,Year1978
82,Year1978
84,Year1978
53,Year1978
86,Year1978
51,Year1978
85,Year1978
45,Year1978
88,Year1978
51,Year1978
80,Year1978
49,Year1978
82,Year1978
75,Year1978
73,Year1978
67,Year1978
68,Year1978
86,Year1978
72,Year1978
75,Year1978
75,Year1978
66,Year1978
84,Year1978
70,Year1978
79,Year1978
60,Year1978
86,Year1978
71,Year1978
67,Year1978
81,Year1978
76,Year1978
83,Year1978
76,Year1978
55,Year1978
73,Year1978
56,Year1978
83,Year1978
57,Year1978
71,Year1978
72,Year1978
77,Year1978
55,Year1978
75,Year1978
73,Year1978
70,Year1978
83,Year1978
50,Year1978
95,Year1978
51,Year1978
82,Year1978
54,Year1978
83,Year1978
51,Year1978
80,Year1978
78,Year1978
81,Year1978
53,Year1978
89,Year1978
44,Year1978
78,Year1978
61,Year1978
73,Year1978
75,Year1978
73,Year1978
76,Year1978
55,Year1978
86,Year1978
48,Year1978
77,Year1978
73,Year1978
70,Year1978
88,Year1978
75,Year1978
83,Year1978
61,Year1978
78,Year1978
61,Year1978
81,Year1978
51,Year1978
80,Year1978
79,Year1978
91,Year2003
86,Year2003
86,Year2003
88,Year2003
86,Year2003
71,Year2003
102,Year2003
92,Year2003
99,Year2003
99,Year2003
79,Year2003
106,Year2003
58,Year2003
86,Year2003
87,Year2003
91,Year2003
98,Year2003
83,Year2003
99,Year2003
87,Year2003
93,Year2003
77,Year2003
85,Year2003
96,Year2003
91,Year2003
56,Year2003
92,Year2003
90,Year2003
87,Year2003
88,Year2003
95,Year2003
88,Year2003
99,Year2003
99,Year2003
89,Year2003
100,Year2003
93,Year2003
87,Year2003
100,Year2003
98,Year2003
95,Year2003
90,Year2003
107,Year2003
90,Year2003
96,Year2003
107,Year2003
88,Year2003
100,Year2003
90,Year2003
87,Year2003
93,Year2003
94,Year2003
87,Year2003
98,Year2003
96,Year2003
88,Year2003
96,Year2003
90,Year2003
101,Year2003
96,Year2003
86,Year2003
92,Year2003
86,Year2003
95,Year2003
85,Year2003
84,Year2003
93,Year2003
82,Year2003
92,Year2003
87,Year2003
87,Year2003
89,Year2003
99,Year2003
89,Year2003
87,Year2003
91,Year2003
94,Year2003
87,Year2003
102,Year2003
103,Year2003
98,Year2003
98,Year2003
84,Year2003
94,Year2003
95,Year2003
82,Year2003
89,Year2003
110,Year2003
90,Year2003
92,Year2003
87,Year2003
85,Year2003
99,Year2003
99,Year2003
85,Year2003
